Mono_Left_overall_transcript,Mono_Right_overall_transcript,lang-detect_roberta-base-model,lang-detect_lang-detect-model
"Hello क्या मैं अजय मुजल से बात कर रही हूं? मेरा नाम आयशा है मैं dot com से बात कर रही हूं. मैं देख सकती हूं कि आपका, dot com sir. Sir may I know like why you are not interested in buying like order for this?  Ok, no problem.","Hello क्या मैं अजय मुजल से बात कर रही हूं? मेरा नाम आयशा है मैं dot com से बात कर रही हूं. मैं देख सकती हूं कि आपका, dot com sir. Sir may I know like why you are not interested in buying like order for this?  Ok, no problem.",hi,en
Hello क्या मैं जोगिंदर सिरोही से बात कर रही हूं? नाम आयशा है मैं दुकान dot com से बात कर रही हूं. मैं देख सकती हूं कि आपका एक maskline plan handle का एक order आप place कर रहे थे but आपने यहां order को confirm नहीं किया है. क्या मैं आपका order किस time में मदद कर सकती हूं? Cloths नकलीn plan handle का. Sir but यहां पर मुझे show कर रहा है details like आपने order आपने place किया था but confirm नहीं किया था इसलिए. मैं जान सकती हूं क्या order क्यों replace करना चाहते थे?,Hello क्या मैं जोगिंदर सिरोही से बात कर रही हूं? नाम आयशा है मैं दुकान dot com से बात कर रही हूं. मैं देख सकती हूं कि आपका एक maskline plan handle का एक order आप place कर रहे थे but आपने यहां order को confirm नहीं किया है. क्या मैं आपका order किस time में मदद कर सकती हूं? Cloths नकलीn plan handle का. Sir but यहां पर मुझे show कर रहा है details like आपने order आपने place किया था but confirm नहीं किया था इसलिए. मैं जान सकती हूं क्या order क्यों replace करना चाहते थे?,hi,hi
"हां हां.  Ma'am यह आपको जो 1.6 liter का आपने जो add किया 837 rupees का है ma'am. Single set of 2 fours. तो क्या मैं order place करने में मदद कर दूं आपको? Ma'am, the 1 which you have added right, 1 single, so 847. It is also return a set of 214. Ma'am यहां पर लिखा है ऐसे set of 2 and 4. So I don't have much details about it. I have to check it on website ma'am that just allow me a moment I'm. You want, तो आप अभी आज जो order place कर सकते हैं ma'am यहां पर. तो आपने जो link open किया है, you want, नहीं ma'am, आपको मैं guide कर देती हूं पहले. तो you can try once if placing the order. आपको cash on delivery option पर चाहिए या फिर online payment करेंगे. So ma'am आज आपने link open किया आपने details enter कर ली आपने address वगैरह तो तुरंत scroll करेंगे तो shipping method दिख रहा होगा. Shipping method दिखा आपको? वहां पर कहीं cash on delivery option होगा, उस पर click कर लीजिए. हम call पर ही guide कर देंगे ma'am ज़्यादा समय नहीं लगेगा. एक minute ही लगेगा confirm करने में. जैसे कि COD order है. आपने open किया link तो आपको shipping method दिख रहा है ना वहां pay online pay cash on delivery? हां ठीक है ma'am. Net कर रही हूं.","हां हां.  Ma'am यह आपको जो 1.6 liter का आपने जो add किया 837 rupees का है ma'am. Single set of 2 fours. तो क्या मैं order place करने में मदद कर दूं आपको? Ma'am, the 1 which you have added right, 1 single, so 847. It is also return a set of 214. Ma'am यहां पर लिखा है ऐसे set of 2 and 4. So I don't have much details about it. I have to check it on website ma'am that just allow me a moment I'm. You want, तो आप अभी आज जो order place कर सकते हैं ma'am यहां पर. तो आपने जो link open किया है, you want, नहीं ma'am, आपको मैं guide कर देती हूं पहले. तो you can try once if placing the order. आपको cash on delivery option पर चाहिए या फिर online payment करेंगे. So ma'am आज आपने link open किया आपने details enter कर ली आपने address वगैरह तो तुरंत scroll करेंगे तो shipping method दिख रहा होगा. Shipping method दिखा आपको? वहां पर कहीं cash on delivery option होगा, उस पर click कर लीजिए. हम call पर ही guide कर देंगे ma'am ज़्यादा समय नहीं लगेगा. एक minute ही लगेगा confirm करने में. जैसे कि COD order है. आपने open किया link तो आपको shipping method दिख रहा है ना वहां pay online pay cash on delivery? हां ठीक है ma'am. Net कर रही हूं.",hi,en
"Hello क्या मेरी बात मीना अरोड़ा से हो रही मैं दिशान dot com से बोल रही हूं. Hello. दिशान, दिशान dot com. Sir आपने ना हमारे, आपने हमारे साथ पहले shopping की है और मैं आपको हमारे दीवाली offer के बारे में बताने के लिए call कर रही हूं. क्या यह सही time है आपसे बात करने का?","Hello क्या मेरी बात मीना अरोड़ा से हो रही मैं दिशान dot com से बोल रही हूं. Hello. दिशान, दिशान dot com. Sir आपने ना हमारे, आपने हमारे साथ पहले shopping की है और मैं आपको हमारे दीवाली offer के बारे में बताने के लिए call कर रही हूं. क्या यह सही time है आपसे बात करने का?",hi,hi
"Hello. क्या मेरी बात राजेन्द्र से हो सकती है? अच्छा अच्छा, तो यहां पर कोई है ma'am इस काम पर राजेंद्र? अच्छा, तो ma'am actually उन्होंने recently मैं जुस्तान से बात कर रही हूं ma'am, good evening. जुस्तान dot com से बात कर रही हूं. मेरा नाम सुबेला है. Actually आपके जो client है उन्होंने ना हमारे साथ पहले shopping की है और मैं इसलिए उनको हमारे दीवाली offer के बारे में बताने के लिए call कर रही हूं. तो उनसे इस number पर मेरी कब तक बात हो जाएगी अगर हो सके तो? अच्छा तो इस number पर positive लेंगे उनसे बात करना? अच्छा यह studio का number है. Alright no problem ma'am अगर आप उनको inform कर सकते हैं तो उन्हें बता दीजिए कि हमारी website से वह जहां पर scale से shopping कर सकते हैं WWW dot Dispatan dot com पर. Ok आपका दिन शुभ हो. Ok.","Hello. क्या मेरी बात राजेन्द्र से हो सकती है? अच्छा अच्छा, तो यहां पर कोई है ma'am इस काम पर राजेंद्र? अच्छा, तो ma'am actually उन्होंने recently मैं जुस्तान से बात कर रही हूं ma'am, good evening. जुस्तान dot com से बात कर रही हूं. मेरा नाम सुबेला है. Actually आपके जो client है उन्होंने ना हमारे साथ पहले shopping की है और मैं इसलिए उनको हमारे दीवाली offer के बारे में बताने के लिए call कर रही हूं. तो उनसे इस number पर मेरी कब तक बात हो जाएगी अगर हो सके तो? अच्छा तो इस number पर positive लेंगे उनसे बात करना? अच्छा यह studio का number है. Alright no problem ma'am अगर आप उनको inform कर सकते हैं तो उन्हें बता दीजिए कि हमारी website से वह जहां पर scale से shopping कर सकते हैं WWW dot Dispatan dot com पर. Ok आपका दिन शुभ हो. Ok.",hi,hi
" Ma'am मेरा नाम जुनेजा है और मैं दुकान dot com से बात कर रही हूं. मैं देख सकती हूं कि क्या आप, दुकान dot com. मैं देख सकती हूं कि आप Airtel table top का order place कर रहे थे. Sir आपने order को confirm नहीं किया. तो क्या मैं आपको order place करने में मदद कर सकती हूं ma'am? Yes ma'am, I am calling from So, actually I can see that you were placing an order. Yes, please. Alright, so you are not looking for that because of the price. Actually ma'am, we can provide you the discount coupon as well. If you want to place the order now, then you can avail the discount coupon as well. If you want me to assist you in placing the order, can I assist you? Alright. So, you want me to give"," Ma'am मेरा नाम जुनेजा है और मैं दुकान dot com से बात कर रही हूं. मैं देख सकती हूं कि क्या आप, दुकान dot com. मैं देख सकती हूं कि आप Airtel table top का order place कर रहे थे. Sir आपने order को confirm नहीं किया. तो क्या मैं आपको order place करने में मदद कर सकती हूं ma'am? Yes ma'am, I am calling from So, actually I can see that you were placing an order. Yes, please. Alright, so you are not looking for that because of the price. Actually ma'am, we can provide you the discount coupon as well. If you want to place the order now, then you can avail the discount coupon as well. If you want me to assist you in placing the order, can I assist you? Alright. So, you want me to give",hi,en
" Good evening ma'am. मेरा नाम जुबेला है और मैं Zusan dot com की ओर से call कर रही हूं. Ma'am, आपकी यह Zusan dot com. Ma'am आपने ना हमारे साथ पहले shopping की है और मैं आपको हमारे दीवाली offer के बारे में बताने के लिए call कर रही हूं. क्या यह सही समय है आपसे बात करने का? Ok actually ma'am अभी हम जो दीवाली sale offer कर रहे हैं ना उसमें आपको हमारे top पर तक 50 percent तक के discount में खरीदने का chance मिलेगा. जी ma'am मैं समय"," Good evening ma'am. मेरा नाम जुबेला है और मैं Zusan dot com की ओर से call कर रही हूं. Ma'am, आपकी यह Zusan dot com. Ma'am आपने ना हमारे साथ पहले shopping की है और मैं आपको हमारे दीवाली offer के बारे में बताने के लिए call कर रही हूं. क्या यह सही समय है आपसे बात करने का? Ok actually ma'am अभी हम जो दीवाली sale offer कर रहे हैं ना उसमें आपको हमारे top पर तक 50 percent तक के discount में खरीदने का chance मिलेगा. जी ma'am मैं समय",hi,hi
" क्या मैं से बात कर रही हूं? Yes ma'am, my name is सुवेन्द्रा and I'm calling from dot com. Ma'am I can see that you were placing an order for the list artificial unit, set of but you have not confirmed your order. Can I assist you in placing the order? Alright. You have purchased the yellow color 1 from or some other website? Alright so currently the product that you have added to the cart of 680 rupees. So you want to place the order for the same? For this 1, ma'am. Do you want to place an order for? Don't want this color, you have purchased already. Alright alright, no problem ma'am. You're welcome. If you're saying in your mind, you can order your desired item anytime from WWW प्रतिष्ठान dot com. Have a nice day."," क्या मैं से बात कर रही हूं? Yes ma'am, my name is सुवेन्द्रा and I'm calling from dot com. Ma'am I can see that you were placing an order for the list artificial unit, set of but you have not confirmed your order. Can I assist you in placing the order? Alright. You have purchased the yellow color 1 from or some other website? Alright so currently the product that you have added to the cart of 680 rupees. So you want to place the order for the same? For this 1, ma'am. Do you want to place an order for? Don't want this color, you have purchased already. Alright alright, no problem ma'am. You're welcome. If you're saying in your mind, you can order your desired item anytime from WWW प्रतिष्ठान dot com. Have a nice day.",en,en
Hello क्या मेरी बात राजन चौधरी से हो रही है? Hello. Hello. Hello ,Hello क्या मेरी बात राजन चौधरी से हो रही है? Hello. Hello. Hello ,hi,hi
क्या मैं पूनम से बात कर रही हूं? Ma'am तकलीफ़ के लिए माफ़ी चाहेंगे मेरा नाम है और मैं जी ma'am मुझे सिर्फ़ दो minute दे दीजिए. मैं Distan dot com से बात कर रही हूं. मैं देख सकती ,क्या मैं पूनम से बात कर रही हूं? Ma'am तकलीफ़ के लिए माफ़ी चाहेंगे मेरा नाम है और मैं जी ma'am मुझे सिर्फ़ दो minute दे दीजिए. मैं Distan dot com से बात कर रही हूं. मैं देख सकती ,hi,hi
क्या मेरी बात स्वाति से हो रही है? Hello. क्या मेरी बात उनका चौधरी से हो रही है? Good afternoon ma'am. मेरा नाम जुरेलिया है और मैं हिंदुस्तान dot com की ओर से call कर रही हूं. Ma'am आप,क्या मेरी बात स्वाति से हो रही है? Hello. क्या मेरी बात उनका चौधरी से हो रही है? Good afternoon ma'am. मेरा नाम जुरेलिया है और मैं हिंदुस्तान dot com की ओर से call कर रही हूं. Ma'am आप,hi,hi
"Hello क्या मैं अंजलि गुप्ता से Ma'am मेरा नाम है और मैं तिस्थान dot com से बात कर रही हूं. Ma'am मैं देख सकती हूं तिस्थान dot com. मैं देख सकती हूं कि आप Bobobac से set off 2 का order place कर रहे थे पर आपने order को confirm नहीं किया. क्या मैं आपको order place करने में मदद कर सकती हूं? अच्छा अच्छा. Ma'am आपको other confirmation का WhatsApp message और email भी आ गया है, नहीं नहीं ma'am. Ma'am देखिए पहले आपको message आना ज़रूरी है. आपको confirmation message आया है क्या? तभी आपका order confirm हुआ होगा. तो आपको आया है WhatsApp message कल आ गया. Ok ठीक है. Ma'am देखिए आपको 4 to 8 days लगेंगे मतलब order booking से कह रही हूं. Normally 4 to 8 days लगेंगे metro cities में तीन से पांच दिन लगता है. जी, आप कुछ और पुछ रहे थे? Ma'am आपने check किया था होगा ना order के time पर मुझे check करना होगा एक बार product की detail मैं अभी आपके लिए check करके बता देती हूं but आपने जो order किया था वही होंगे यह. तो इसमें कोई issue नहीं है. अगर आप मुझे एक minute का समय दें मैं check करके बताती हूं. जी, ma'am आपने product description go through किया था जब आपने order के लिए add किया था इसे? Product product description वगैरह search किया था आपने? नहीं किया था. Ma'am यहां picture में तो यह पांच के नहीं लग रहे हैं. मुझे description check करना होगा. मैं एक बार description check कर लेती हूं. Ma'am एक minute का समय दे दीजिए आप चाहें तो मैं callback कर लेती आप website से भी check कर सकते हैं ma'am वैसे भी आपका order place हो गया है ना तो आप check कर लीजिए या फिर आप चाहें तो मैं callback कर लेती हूं. ठीक है? के साथ order place करने के लिए शुक्रिया आपका दिन शुभ हो.","Hello क्या मैं अंजलि गुप्ता से Ma'am मेरा नाम है और मैं तिस्थान dot com से बात कर रही हूं. Ma'am मैं देख सकती हूं तिस्थान dot com. मैं देख सकती हूं कि आप Bobobac से set off 2 का order place कर रहे थे पर आपने order को confirm नहीं किया. क्या मैं आपको order place करने में मदद कर सकती हूं? अच्छा अच्छा. Ma'am आपको other confirmation का WhatsApp message और email भी आ गया है, नहीं नहीं ma'am. Ma'am देखिए पहले आपको message आना ज़रूरी है. आपको confirmation message आया है क्या? तभी आपका order confirm हुआ होगा. तो आपको आया है WhatsApp message कल आ गया. Ok ठीक है. Ma'am देखिए आपको 4 to 8 days लगेंगे मतलब order booking से कह रही हूं. Normally 4 to 8 days लगेंगे metro cities में तीन से पांच दिन लगता है. जी, आप कुछ और पुछ रहे थे? Ma'am आपने check किया था होगा ना order के time पर मुझे check करना होगा एक बार product की detail मैं अभी आपके लिए check करके बता देती हूं but आपने जो order किया था वही होंगे यह. तो इसमें कोई issue नहीं है. अगर आप मुझे एक minute का समय दें मैं check करके बताती हूं. जी, ma'am आपने product description go through किया था जब आपने order के लिए add किया था इसे? Product product description वगैरह search किया था आपने? नहीं किया था. Ma'am यहां picture में तो यह पांच के नहीं लग रहे हैं. मुझे description check करना होगा. मैं एक बार description check कर लेती हूं. Ma'am एक minute का समय दे दीजिए आप चाहें तो मैं callback कर लेती आप website से भी check कर सकते हैं ma'am वैसे भी आपका order place हो गया है ना तो आप check कर लीजिए या फिर आप चाहें तो मैं callback कर लेती हूं. ठीक है? के साथ order place करने के लिए शुक्रिया आपका दिन शुभ हो.",hi,hi
"Hello sir मैं renew रोहन से बात कर रही हूं? हां जी. Ma'am my name is my name is साईशा and I'm calling from दूकान dot com. And I can see that you are placing an order for elegantने receiving in metal plant pond but you haven't confirm your order ma'am. So can I assist you in placing the order? Ok. So, please, like, मानसी, I'm sending you the order booking link via SMS. Please check, ma'am, if you have received the SMS? Will just take your 2 minutes ma'am.","Hello sir मैं renew रोहन से बात कर रही हूं? हां जी. Ma'am my name is my name is साईशा and I'm calling from दूकान dot com. And I can see that you are placing an order for elegantने receiving in metal plant pond but you haven't confirm your order ma'am. So can I assist you in placing the order? Ok. So, please, like, मानसी, I'm sending you the order booking link via SMS. Please check, ma'am, if you have received the SMS? Will just take your 2 minutes ma'am.",en,en
"क्या मैं उषा रानी कोलना करेंगे? जी मेरा नाम जुबेरा है और प्रशांत dot com से बोल रही हूं. Ma'am मैंने, hello? Ma'am मैंने आपसे कुछ देर पहले बात की थी. आपके online order पर बात Alright alright ma'am. As you said, you will do it half an hour. Ma'am I will give you a callback tomorrow, ok And if in case you need any help, please let me know, ma'am. I'll call you tomorrow. And I'll send","क्या मैं उषा रानी कोलना करेंगे? जी मेरा नाम जुबेरा है और प्रशांत dot com से बोल रही हूं. Ma'am मैंने, hello? Ma'am मैंने आपसे कुछ देर पहले बात की थी. आपके online order पर बात Alright alright ma'am. As you said, you will do it half an hour. Ma'am I will give you a callback tomorrow, ok And if in case you need any help, please let me know, ma'am. I'll call you tomorrow. And I'll send",hi,en
Hello क्या से बात कर Hello.,Hello क्या से बात कर Hello.,hi,hi
"Hello, क्या मेरी बात रवि से हो रही है? Hello. Good afternoon. मेरा नाम सुबेला है और Ma'am, good afternoon. मेरा नाम, ma'am आप sun पा रहे हैं? Good evening ma'am.  Ma'am आ जाओ.","Hello, क्या मेरी बात रवि से हो रही है? Hello. Good afternoon. मेरा नाम सुबेला है और Ma'am, good afternoon. मेरा नाम, ma'am आप sun पा रहे हैं? Good evening ma'am.  Ma'am आ जाओ.",hi,hi
क्या मेरी बात राकेशमोहन जी से हो रही है? Evening sir मेरा नाम आइशा है और मैं dot com की ओर से call कर रही हूं. आपने ना हमारे साथ पहले shopping आपने ना हमारे साथ पहले shopping की है और मैं आपको हमारे दीवाली offer के बारे में बताने के लिए call कर रही हूं. यह सही time है आपसे बात करने का? Ok ठीक है sir तो पहले तो मैं उम्मीद करती हूं कि आपका अपने पहले purchase से satisfied हैं और आपका आपका अनुभव अच्छा रहा होगा और आप क्योंकि दीवाली नज़दीक आ रही है हम ना आपके सारे products पर ज्ञान दीवाली के लिए offer कर रहे हैं. जिसमें आपको हमारी top product पर 60 percent तक की छूट मिलेगी और हमारे product में आपके घर के लिए perfect addition हो सकते हैं इस type के future में और आप उन्हें अपने family और friends को भी gift कर सकते हैं और आपको बता दूं कि यह limited time offer है तो आप ना इसे miss ना करें. अगर आप हमारे product देखना चाहते हैं तो मैं ना आपके साथ एक link share कर देती हूं. क्या आप ना हमारे offers check कर सकते हैं. क्या मैं आपके साथ details share कर दूं sir? ठीक है sir. तो फिर मैं आपके साथ ना product देखने के लिए एक link इस call के बाद immediately share कर दूंगी. Please limited time offer का ना पूरा फ़ायदा उठाइएगा. और कोई भी support के लिए please हमारे website द्वारा हमें contact कीजिए. दीवाली in advance sir. Thank you so much for your time. Have a nice day.,क्या मेरी बात राकेशमोहन जी से हो रही है? Evening sir मेरा नाम आइशा है और मैं dot com की ओर से call कर रही हूं. आपने ना हमारे साथ पहले shopping आपने ना हमारे साथ पहले shopping की है और मैं आपको हमारे दीवाली offer के बारे में बताने के लिए call कर रही हूं. यह सही time है आपसे बात करने का? Ok ठीक है sir तो पहले तो मैं उम्मीद करती हूं कि आपका अपने पहले purchase से satisfied हैं और आपका आपका अनुभव अच्छा रहा होगा और आप क्योंकि दीवाली नज़दीक आ रही है हम ना आपके सारे products पर ज्ञान दीवाली के लिए offer कर रहे हैं. जिसमें आपको हमारी top product पर 60 percent तक की छूट मिलेगी और हमारे product में आपके घर के लिए perfect addition हो सकते हैं इस type के future में और आप उन्हें अपने family और friends को भी gift कर सकते हैं और आपको बता दूं कि यह limited time offer है तो आप ना इसे miss ना करें. अगर आप हमारे product देखना चाहते हैं तो मैं ना आपके साथ एक link share कर देती हूं. क्या आप ना हमारे offers check कर सकते हैं. क्या मैं आपके साथ details share कर दूं sir? ठीक है sir. तो फिर मैं आपके साथ ना product देखने के लिए एक link इस call के बाद immediately share कर दूंगी. Please limited time offer का ना पूरा फ़ायदा उठाइएगा. और कोई भी support के लिए please हमारे website द्वारा हमें contact कीजिए. दीवाली in advance sir. Thank you so much for your time. Have a nice day.,hi,hi
"क्या मैं श्रेया वर्मा से बात कर सकती हूं? जी, मेरा नाम ज़ुलेरा है और मैं ZestMoney dot com से बात कर रही हूं. Actually, dot com. Sir actually मैं देख सकती हूं कि ma'am ने ना pack of 6 का order place कर रहे थे. पर उन्होंने order को confirm नहीं किया दुकान dot com पर तो उसी के बारे में बात करनी थी. हां जी. तो अपने Sir, मैं कब तक से call कर सकती हूं sir, आज या कल में कब बात हो जाएगी? हां sure sir no problem. तो ma'am available होंगे ना 7PM को? Sure, मैं call कर लूंगी. आपका समय देने के लिए शुक्रिया.","क्या मैं श्रेया वर्मा से बात कर सकती हूं? जी, मेरा नाम ज़ुलेरा है और मैं ZestMoney dot com से बात कर रही हूं. Actually, dot com. Sir actually मैं देख सकती हूं कि ma'am ने ना pack of 6 का order place कर रहे थे. पर उन्होंने order को confirm नहीं किया दुकान dot com पर तो उसी के बारे में बात करनी थी. हां जी. तो अपने Sir, मैं कब तक से call कर सकती हूं sir, आज या कल में कब बात हो जाएगी? हां sure sir no problem. तो ma'am available होंगे ना 7PM को? Sure, मैं call कर लूंगी. आपका समय देने के लिए शुक्रिया.",hi,hi
,,na,na
"Hello, क्या मैं प्रीति अग्निहोत्री से बात कर रही हूं? जी ma'am मेरा नाम जुवेदा है और मैं dot com से बात कर रही हूं. Ma'am मैं देख चुकी हूं कि आप ना plan time and table place plan set of 4 और 6 का order place कर रहे थे. पर आपने order को confirm नहीं किया तो क्या मैं आपका order place. आपकी voice break हो रही है. मतलब अभी आपने mind change किया, कह रहा है? अच्छा तो most probably आप कब तक order करेंगे ma'am? अच्छा ma'am आप जितना जल्दी order place करेंगे ना उतनी जल्दी delivery हो जाएगी. अगर आपको other value rupees 900 से ज़्यादा है ना तो हम आपको discount code भी दे सकते हैं अगर आप अभी order place करें तो. क्या आप अभी order place करना चाह. Ok, no problem. Ma'am, मैं आपको इस call के बाद भी auto place link भेज दूंगी और फिर आप order place कर सकते हैं. Ma'am, मैं आपको कल तक ma'am callback करती हूं और अगर आपको वह order. अच्छा तो callback आपको मैं करूं sir या फिर आप कह रहे हैं कि corporate फ़ायदे हैं? अच्छा, callback required नहीं है. कह रहे हैं आप खुद से कर लें. Problem अगर आप जी ma'am आप कल तक कर लीजिएगा और WWW dot dot com पर से यहां पसंद की चीज़ें order कर सकते हैं. आपका दिन शुभ हो. ","Hello, क्या मैं प्रीति अग्निहोत्री से बात कर रही हूं? जी ma'am मेरा नाम जुवेदा है और मैं dot com से बात कर रही हूं. Ma'am मैं देख चुकी हूं कि आप ना plan time and table place plan set of 4 और 6 का order place कर रहे थे. पर आपने order को confirm नहीं किया तो क्या मैं आपका order place. आपकी voice break हो रही है. मतलब अभी आपने mind change किया, कह रहा है? अच्छा तो most probably आप कब तक order करेंगे ma'am? अच्छा ma'am आप जितना जल्दी order place करेंगे ना उतनी जल्दी delivery हो जाएगी. अगर आपको other value rupees 900 से ज़्यादा है ना तो हम आपको discount code भी दे सकते हैं अगर आप अभी order place करें तो. क्या आप अभी order place करना चाह. Ok, no problem. Ma'am, मैं आपको इस call के बाद भी auto place link भेज दूंगी और फिर आप order place कर सकते हैं. Ma'am, मैं आपको कल तक ma'am callback करती हूं और अगर आपको वह order. अच्छा तो callback आपको मैं करूं sir या फिर आप कह रहे हैं कि corporate फ़ायदे हैं? अच्छा, callback required नहीं है. कह रहे हैं आप खुद से कर लें. Problem अगर आप जी ma'am आप कल तक कर लीजिएगा और WWW dot dot com पर से यहां पसंद की चीज़ें order कर सकते हैं. आपका दिन शुभ हो. ",hi,hi
"Hello क्या मैं अभी गौरव से बात कर मेरा नाम जुबेरा है sir और मैं dot com से बात कर रही हूं. Sir मैं देख सकती हूं dot com. मैं देख सकती हूं हूं कि आप classic Bowrl beach में का order place कर रहे थे और आपने order को confirm नहीं किया. क्या मैं आपको order place करने में मदद कर सकती हूं? हां, तो अभी आप confirm कब करना चाहेंगे, मैं समझी नहीं sir? हां sir मैं आपको ना अभी order booking link SMS पर भेज रही हूं. Please एक बार check कीजिए. अगर आपको message मिल गया या नहीं, मैं call पर ही wait कर रही हूं sir. एक बार check कीजिए. आपको SMS आया है क्या? Normal text message होगा. बार दुबारा से please check कर लीजिए मैं एक बार फिर से send कर रही हूं. Normal text message URL होगा जिस स्थान की तरफ़ से order booking link का मैंने send किया है दुबारा एक बार check कीजिए. मिला तो. अच्छा तो हमारी अच्छा तो sir एक बार आप please Chrome browser से open करेंगे. आप जो भी internet browser use करते हैं उस पर DUS double e n dot com आप type करेंगे तो हमारी website open हो जाएगी. तो एक बार उसके द्वारा open कर लीजिए please. SMS तो आना चाहिए था but शायद maybe कोई network issue आया है sir आपको SMS कि आपने link आपने website open किया है? Ok, बढ़िया. अब sir आपको वहां पर top right corner पर आपका shopping card दिख रहा होगा, है ना? 0 है. आपका product नहीं show कर रहा है उसमें? अच्छा था.  नहीं तब भी अगर हमारे जो customers Instagram via Instagram भी add से order करता है तो obviously वह order place करने के लिए cart में cart में add करते हैं ना. तो might be आप शायद cart में add, हां जी. आपको मिलना तो चाहिए sir partner add किया आपने कोई तो हमारे पास cart का link है आपका और 2700 का आपका order value है Ok, कोई बात नहीं sir एक बार आप हम ऐसे try कर सकते हैं. आप यह वहां पर जो search bar है ना website में home page में, वहां पर plastic Floral पर beach, उड़ान आप type कर लेंगे ना, वह product आ जाएगा आपको.  Turank T0RAN. 2700 इसका MRP है, plural. With tea. हां जी, हां जी, T0RAN कुरान से type कर लीजिए ताकि आपको specifically वही product show करें.  जी, बढ़िया. आप उसे add कर लीजिए cart में. वह product add करके आप cart की तरफ़ हां, buy now yes sir. तो buy now करेंगे तो directly आपको add हो जाएगा automatic. And then आपने अगर details पहले enter कर रखी होगी address वगैरह तो आपकी details show करेगी. तो order booking page पर आ गए होंगे आप, right?  Sir, आपको वहां पर एक OTP भी आया होगा. Ok, बढ़िया आपके end से. आपको order consultation कैसे जो आया? Ok, बढ़िया आपको tracking ID. Ok, आपको confirmation message आया mail पर? WhatsApp कर दी. बढ़िया sir आप आपने जैसे confirm कर दिया website पर बढ़िया और की entry एक बार check कर लेती हूं, ok? Sir जैसे grade, आपने कहा कि cancellation message आ गया confirm करने के लिए शुक्रिया. आपको WhatsApp पर delivery के regular updates मिलते रहेंगे sir दुकान के साथ order करने के लिए शुक्रिया, ok?","Hello क्या मैं अभी गौरव से बात कर मेरा नाम जुबेरा है sir और मैं dot com से बात कर रही हूं. Sir मैं देख सकती हूं dot com. मैं देख सकती हूं हूं कि आप classic Bowrl beach में का order place कर रहे थे और आपने order को confirm नहीं किया. क्या मैं आपको order place करने में मदद कर सकती हूं? हां, तो अभी आप confirm कब करना चाहेंगे, मैं समझी नहीं sir? हां sir मैं आपको ना अभी order booking link SMS पर भेज रही हूं. Please एक बार check कीजिए. अगर आपको message मिल गया या नहीं, मैं call पर ही wait कर रही हूं sir. एक बार check कीजिए. आपको SMS आया है क्या? Normal text message होगा. बार दुबारा से please check कर लीजिए मैं एक बार फिर से send कर रही हूं. Normal text message URL होगा जिस स्थान की तरफ़ से order booking link का मैंने send किया है दुबारा एक बार check कीजिए. मिला तो. अच्छा तो हमारी अच्छा तो sir एक बार आप please Chrome browser से open करेंगे. आप जो भी internet browser use करते हैं उस पर DUS double e n dot com आप type करेंगे तो हमारी website open हो जाएगी. तो एक बार उसके द्वारा open कर लीजिए please. SMS तो आना चाहिए था but शायद maybe कोई network issue आया है sir आपको SMS कि आपने link आपने website open किया है? Ok, बढ़िया. अब sir आपको वहां पर top right corner पर आपका shopping card दिख रहा होगा, है ना? 0 है. आपका product नहीं show कर रहा है उसमें? अच्छा था.  नहीं तब भी अगर हमारे जो customers Instagram via Instagram भी add से order करता है तो obviously वह order place करने के लिए cart में cart में add करते हैं ना. तो might be आप शायद cart में add, हां जी. आपको मिलना तो चाहिए sir partner add किया आपने कोई तो हमारे पास cart का link है आपका और 2700 का आपका order value है Ok, कोई बात नहीं sir एक बार आप हम ऐसे try कर सकते हैं. आप यह वहां पर जो search bar है ना website में home page में, वहां पर plastic Floral पर beach, उड़ान आप type कर लेंगे ना, वह product आ जाएगा आपको.  Turank T0RAN. 2700 इसका MRP है, plural. With tea. हां जी, हां जी, T0RAN कुरान से type कर लीजिए ताकि आपको specifically वही product show करें.  जी, बढ़िया. आप उसे add कर लीजिए cart में. वह product add करके आप cart की तरफ़ हां, buy now yes sir. तो buy now करेंगे तो directly आपको add हो जाएगा automatic. And then आपने अगर details पहले enter कर रखी होगी address वगैरह तो आपकी details show करेगी. तो order booking page पर आ गए होंगे आप, right?  Sir, आपको वहां पर एक OTP भी आया होगा. Ok, बढ़िया आपके end से. आपको order consultation कैसे जो आया? Ok, बढ़िया आपको tracking ID. Ok, आपको confirmation message आया mail पर? WhatsApp कर दी. बढ़िया sir आप आपने जैसे confirm कर दिया website पर बढ़िया और की entry एक बार check कर लेती हूं, ok? Sir जैसे grade, आपने कहा कि cancellation message आ गया confirm करने के लिए शुक्रिया. आपको WhatsApp पर delivery के regular updates मिलते रहेंगे sir दुकान के साथ order करने के लिए शुक्रिया, ok?",hi,hi
